filename,beta1,beta2,learning_rate,rel_inp_dropout,rel_hid_dropout,rel_hidden_dim,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200615181646,0.1,0.1,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181704/test/"" ",0.1108,0.2435,0.3271,0.5716,117.6761,0.1853,0.0293,0.1671,0.2191,0.383,237.238,0.0979,0.329
C_S_V6_271_5fold_1_20200615181746,0.1,0.3,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181804/test/"" ",0.0888,0.2518,0.3177,0.5643,124.2968,0.1679,0.0319,0.1678,0.2256,0.4083,215.4447,0.1006,0.4395
C_S_V6_271_5fold_1_20200615181846,0.1,0.5,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181906/test/"" ",0.1358,0.3041,0.4117,0.6928,88.7586,0.2273,0.0273,0.1756,0.2367,0.4506,211.2516,0.1035,0.3914
C_S_V6_271_5fold_1_20200615181946,0.1,0.7,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615182006/test/"" ",0.2299,0.4692,0.5768,0.7931,68.4974,0.3458,0.0306,0.2328,0.3095,0.5104,172.8062,0.1323,0.0143
C_S_V6_271_5fold_1_20200615211551,0.5,0.9,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211610/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211610/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211610/test/"" ",0.1672,0.3375,0.4295,0.6583,97.4054,0.2537,0.0124,0.0767,0.119,0.2965,272.1027,0.0522,0.541
C_S_V6_271_5fold_1_20200615211651,0.5,1.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211709/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211709/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615211709/test/"" ",0.1212,0.2759,0.3605,0.582,125.3929,0.2016,0.013,0.08,0.1261,0.2906,280.357,0.0517,0.5306
C_S_V6_271_5fold_1_20200615212445,0.1,1.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615212502/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615212502/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615212502/test/"" ",0.256,0.5037,0.6155,0.8088,62.9195,0.3731,0.0215,0.2471,0.3296,0.5429,154.2295,0.1302,0.2263
C_S_V6_271_5fold_1_20200616000804,0.01,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000821/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000821/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000821/test/"" ",0.046,0.1212,0.1797,0.3772,196.441,0.0946,0.0202,0.1261,0.1782,0.3446,239.7061,0.078,0.0702
C_S_V6_271_5fold_1_20200616000903,0.05,0.01,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/test/"" ",0.0752,0.163,0.2173,0.3595,198.1014,0.1237,0.0312,0.173,0.2159,0.3446,253.3693,0.1025,0.2718
C_S_V6_271_5fold_1_20200616000904,0.01,0.03,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200616000923/test/"" ",0.1076,0.2393,0.3009,0.4817,143.0554,0.1766,0.0228,0.1801,0.2373,0.4096,208.3778,0.1019,0.1795
