filename,beta1,beta2,learning_rate,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V7_271_5fold_1_20200620171752,1.0,3.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171759/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171759/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171759/test/"" ",0.1492,0.2455,0.2888,0.4332,190.4669,0.2016,0.0103,0.1365,0.1878,0.3571,227.3103,0.0757,0.8077
C_S_V7_271_5fold_1_20200620174412,0.3,0.6,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174418/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174418/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174418/test/"" ",0.2082,0.3586,0.4031,0.5199,176.4043,0.28,0.0179,0.2224,0.2936,0.4635,188.3987,0.1164,0.8026
C_S_V7_271_5fold_1_20200620174512,0.4,0.8,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174518/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174518/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174518/test/"" ",0.1974,0.3321,0.3863,0.5018,178.5812,0.2617,0.0147,0.2115,0.2692,0.4417,195.3904,0.1077,0.8064
C_S_V7_271_5fold_1_20200620174612,0.5,1.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174618/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174618/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620174618/test/"" ",0.2082,0.3105,0.3682,0.5006,180.988,0.2645,0.0141,0.1955,0.2513,0.4244,204.9404,0.0998,0.8077
C_S_V7_271_5fold_1_20200620180738,0.3,0.15,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180745/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180745/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180745/test/"" ",0.2335,0.3851,0.4344,0.5584,162.2659,0.3072,0.0167,0.234,0.3103,0.4724,178.6276,0.1215,0.809
C_S_V7_271_5fold_1_20200620180838,0.4,0.2,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180844/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180844/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180844/test/"" ",0.2106,0.3586,0.3935,0.5295,174.9543,0.2805,0.0135,0.2263,0.2853,0.4667,188.9987,0.1152,0.8167
C_S_V7_271_5fold_1_20200620180938,0.5,0.25,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180944/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180944/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620180944/test/"" ",0.2046,0.3514,0.4067,0.5235,175.1191,0.2762,0.0128,0.2205,0.2865,0.4506,192.6244,0.1113,0.8141
C_S_V7_271_5fold_1_20200620182553,0.6,1.2,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182558/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182558/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182558/test/"" ",0.1865,0.3249,0.3646,0.4958,185.5499,0.2512,0.0135,0.1782,0.241,0.4,211.2372,0.0936,0.8051
C_S_V7_271_5fold_1_20200620182653,0.7,1.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182659/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182659/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182659/test/"" ",0.1805,0.302,0.3442,0.4765,179.2996,0.2375,0.0109,0.1635,0.2244,0.3949,213.1013,0.0872,0.7987
C_S_V7_271_5fold_1_20200620182753,0.8,1.6,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182758/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182758/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620182758/test/"" ",0.1685,0.2876,0.3369,0.4573,191.0638,0.2256,0.0103,0.1545,0.2083,0.3763,222.8288,0.0831,0.8103
C_S_V7_271_5fold_1_20200620185552,0.6,0.3,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185558/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185558/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185558/test/"" ",0.2034,0.3357,0.3755,0.515,167.929,0.2683,0.0128,0.2167,0.2705,0.4391,200.009,0.1088,0.8154
C_S_V7_271_5fold_1_20200620185652,0.7,0.35,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185658/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185658/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185658/test/"" ",0.1998,0.3406,0.3899,0.5018,184.1119,0.2671,0.0128,0.1955,0.2577,0.4365,195.4468,0.1016,0.8051
C_S_V7_271_5fold_1_20200620185752,0.8,0.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185758/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185758/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620185758/test/"" ",0.1913,0.3249,0.3791,0.4994,180.9386,0.2575,0.0173,0.1878,0.25,0.4173,203.8506,0.1017,0.8154
C_S_V7_271_5fold_1_20200620191336,0.9,1.8,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191342/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191342/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191342/test/"" ",0.1649,0.2816,0.3237,0.4549,186.8953,0.222,0.0109,0.1519,0.2103,0.3763,224.4353,0.0833,0.8103
C_S_V7_271_5fold_1_20200620191436,1.0,2.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191443/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191443/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620191443/test/"" ",0.1673,0.2599,0.302,0.4573,195.8484,0.2174,0.0128,0.1346,0.1853,0.3404,234.8096,0.0757,0.8167
C_S_V7_271_5fold_1_20200620193644,0.9,0.45,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193650/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193650/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193650/test/"" ",0.1913,0.3249,0.3767,0.485,181.5439,0.254,0.016,0.1974,0.2744,0.4263,199.2462,0.1039,0.8038
C_S_V7_271_5fold_1_20200620193744,1.0,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193751/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193751/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620193751/test/"" ",0.1949,0.2996,0.3502,0.4717,186.6751,0.2513,0.0135,0.1814,0.2436,0.4154,208.066,0.0953,0.8141
C_S_V7_271_5fold_1_20200621154120,0.5,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154128/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154128/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154128/test/"" ",0.1709,0.3225,0.3634,0.4874,195.3213,0.2402,0.0333,0.2128,0.2635,0.4058,206.9705,0.121,0.5359
C_S_V7_271_5fold_1_20200621154440,0.5,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154446/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154446/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621154446/test/"" ",0.1889,0.3249,0.3815,0.4994,188.911,0.2562,0.0308,0.2071,0.2583,0.4077,210.9263,0.1175,0.541
C_S_V7_271_5fold_1_20200621161352,0.5,0.5,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621161359/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621161359/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200621161359/test/"" ",0.2046,0.3562,0.4019,0.515,190.5596,0.2762,0.0237,0.2449,0.3244,0.4981,175.8955,0.1328,0.7192
