filename,beta1,beta2,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200615115121,0.0,0.5,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115140/test/"" ",0.2247,0.4807,0.5684,0.7722,69.0084,0.3416,0.0013,0.3674,0.4681,0.671,124.4837,0.1723,0.0
C_S_V6_271_5fold_1_20200615115137,0.3,0.3,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615115157/test/"" ",0.1829,0.3939,0.4723,0.7011,89.0951,0.2837,0.0156,0.1183,0.1912,0.3719,244.1749,0.0748,0.5202
C_S_V6_271_5fold_1_20200615120905,0.9,0.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615120927/test/"" ",0.162,0.3511,0.4441,0.6426,102.977,0.2519,0.0156,0.0676,0.1099,0.29,267.8511,0.0513,0.5332
C_S_V6_271_5fold_1_20200615151116,0.3,0.7,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151133/test/"" ",0.1557,0.3459,0.441,0.7158,84.4953,0.2517,0.0137,0.106,0.1593,0.3498,252.5572,0.0659,0.5293
C_S_V6_271_5fold_1_20200615151207,0.0,0.7,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151224/test/"" ",0.2372,0.4796,0.5925,0.7837,69.2027,0.3508,0.0013,0.3667,0.4662,0.6528,122.6274,0.1707,0.0039
C_S_V6_271_5fold_1_20200615151216,0.3,0.9,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151232/test/"" ",0.0888,0.2278,0.3281,0.5716,120.1902,0.1673,0.0111,0.1047,0.1593,0.3296,265.0546,0.0623,0.5124
C_S_V6_271_5fold_1_20200615151307,0.0,0.9,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/test/"" ",0.2299,0.4828,0.5799,0.7806,69.9634,0.3458,0.0039,0.3583,0.4597,0.6502,125.7211,0.17,0.0
C_S_V6_271_5fold_1_20200615151407,0.0,1.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/test/"" ",0.2341,0.4911,0.5862,0.7879,69.3887,0.3542,0.0026,0.368,0.4759,0.6691,123.472,0.1749,0.0039
C_S_V6_271_5fold_1_20200615151507,0.1,0.0,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/test/"" ",0.0805,0.1818,0.2414,0.3793,194.953,0.1338,0.0416,0.1658,0.2263,0.3693,228.08,0.1058,0.355
C_S_V6_271_5fold_1_20200615153035,0.9,0.7,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/test/"" ",0.1661,0.3532,0.4263,0.6447,107.5413,0.2557,0.0078,0.0527,0.0969,0.2601,292.2939,0.04,0.5605
