filename,train_kg,predict_relation,alignment_module,learning_rate,beta1,beta2,margin,rel_inp_dropout,rel_hid_dropout,stop_metric,rel_hidden_dim,loss_norm,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,kg1-c-hits1,kg1-c-hits5,kg1-c-hits10,kg1-c-hits50,kg1-c-mr,kg1-c-mrr,kg1-rel-acc,kg2-c-hits1,kg2-c-hits5,kg2-c-hits10,kg2-c-hits50,kg2-c-mr,kg2-c-mrr,kg2-rel-acc
C_S_V0_271_5fold_1_20200713030618,kg2,False,non-sharing,0.07,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030644/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2093,0.4596,0.5813,0.8191,42.8836,0.3323,-
C_S_V0_271_5fold_1_20200713053849,kg2,False,non-sharing,0.07,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713053909/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2062,0.4689,0.5831,0.8222,42.4453,0.3326,-
C_S_V0_271_5fold_1_20200713053949,kg2,False,non-sharing,0.07,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054010/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.212,0.4649,0.5831,0.8222,44.0898,0.3367,-
C_S_V0_271_5fold_1_20200713054049,kg2,False,non-sharing,0.1,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054111/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054111/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054111/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2093,0.4698,0.584,0.8204,43.2587,0.3348,-
C_S_V0_271_5fold_1_20200713054149,kg2,False,non-sharing,0.1,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054211/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054211/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054211/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.212,0.4644,0.5853,0.8204,43.2391,0.3362,-
C_S_V0_271_5fold_1_20200713054536,kg12,False,sharing,0.07,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054558/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054558/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054558/valid2/"" ",0.3183,0.5135,0.5798,0.7356,85.4769,0.4108,0.1564,0.336,0.4271,0.6444,133.3733,0.2452,-,0.2013,0.4604,0.5796,0.8222,42.552,0.3259,-
C_S_V0_271_5fold_1_20200713054636,kg12,False,sharing,0.07,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054659/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054659/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054659/valid2/"" ",0.3155,0.5157,0.5872,0.739,86.5512,0.4091,0.1516,0.3462,0.4333,0.6484,130.8693,0.2454,-,0.2027,0.4564,0.5827,0.8218,42.6951,0.3265,-
C_S_V0_271_5fold_1_20200713054736,kg12,False,sharing,0.07,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054759/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054759/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054759/valid2/"" ",0.3076,0.5191,0.5889,0.7368,82.4499,0.4072,0.156,0.3422,0.4284,0.6498,130.888,0.2472,-,0.1964,0.46,0.576,0.8218,42.4027,0.3237,-
C_S_V0_271_5fold_1_20200713054836,kg12,False,sharing,0.1,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054901/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054901/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713054901/valid2/"" ",0.3133,0.5242,0.5945,0.7368,86.4376,0.409,0.1618,0.3413,0.4351,0.66,132.1644,0.25,-,0.2067,0.4613,0.5716,0.8249,43.0436,0.3289,-
C_S_V0_271_5fold_1_20200713080838,kg2,False,non-sharing,0.1,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713080858/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713080858/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713080858/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2044,0.4716,0.5853,0.8213,42.4009,0.3332,-
